Date,4BitcoinCash,3XRP,1Bitcoin,2Ethereum,5Tether,7Litecoin,8EOS,9BinanceCoin,11Chainlink,13Stellar,16Monero
13/02/2018,20901788080,40078458444,144995984203,82496189206,2219579668,8808187849,6148681740,889817035,199765650,7568663140,3688995408
14/02/2018,23114690849,44533700985,160131558835,90157005929,2218848012,11781584374,6671166759,1029805008,198888550,8368583821,4349750884
15/02/2018,23346962574,44738109276,171477807437,91485862822,2229135545,12451226607,6829174012,1082331935,197837850,8362459334,4768835651
16/02/2018,26343142898,44393657900,172637061144,92211437654,2221796809,12714036456,6753287501,1109115222,223869800,8397306978,4663394976
17/02/2018,26332072140,47005324901,187482083882,95151956513,2225344235,12681138421,6859789737,1157404350,235370450,8832967533,5123790322
18/02/2018,25249614907,43708265978,178040648022,90267805476,2228647774,11925650529,6359357557,1059687434,266616350,8317764784,4722968616
19/02/2018,26055483336,44642926789,189426791571,92235641556,2218493269,12333459061,6581977970,1096649360,271026700,8364544915,4981828870
20/02/2018,24087960507,42498980287,192457815912,87514997546,2218493269,12878414402,6319287589,980685153,244974100,7429388019,4792567443
21/02/2018,22218026982,39609567670,180442459820,83095081059,2219291440,11803114422,5981143639,928829541,228784150,7327373306,5080516979
22/02/2018,20709470642,36738411366,168892273935,79482140044,2226208919,10807770154,5553653254,881623626,210673050,6767470980,4453959017
23/02/2018,21581532150,39050038644,173909350860,84520567485,2220621725,11585694405,5908091946,959654580,236176850,7054429394,4501472315
24/02/2018,20268481491,37312157402,165687799108,82222377928,2223437493,11594912515,5657955686,905177077,227835300,6559089633,4314759976
25/02/2018,20012870666,36885437636,163204062358,82659602549,2217894641,12209956904,5467127018,925444252,236500250,6598592820,4429770876
26/02/2018,21246107744,37408213331,175076064010,85074973200,2216167489,12240119979,5646077180,980468312,242006100,6732985046,4629165072
27/02/2018,21181906561,37034701591,181158869820,85968788108,2218293727,12001557417,5970803890,1055479339,253384950,6686386249,4771051388
28/02/2018,20462034996,35364493451,175644310997,83728564149,2214708610,11245167904,5875209847,1033527935,231506450,6166788733,4506558045
01/03/2018,21955792824,36293542331,185009753075,85410827047,2218072013,11628116966,6050853238,1040607436,232072750,6266485694,4954702676
02/03/2018,21673564991,35579309844,187318996197,83925690001,2216542186,11786864287,5692032956,1012398347,228459700,5911772933,5440160528
03/03/2018,21594173316,35487834666,194159120569,83979651073,2219069726,11683955341,5642689292,1011715151,220047100,6466943432,5571371507
04/03/2018,21914279433,39308526146,194567395376,84923240778,2211846281,11862048436,5783553012,1024606773,207486300,6684166251,5825639484
05/03/2018,21558729053,37503572321,195614809925,83667342992,2214622142,11719782021,5716172787,1001081047,205358300,6501352349,5894330101
06/03/2018,20506961442,36077458649,182225316082,80083929891,2218249384,10914025494,5163442528,929185001,186854500,6240667058,5471584637
07/03/2018,18572604012,34057303602,168479670395,73813918307,2222639323,10319459551,4648692535,894579608,182401800,6078003667,5358397337
08/03/2018,17691098520,32284366089,158852238332,69098851661,2230244116,9804070597,4445107794,822849906,170247700,5770353784,4403343522
09/03/2018,18148929842,33218820222,157898203939,71498733754,2220821267,10398444427,4406482424,823110313,168306950,5768898149,4553784577
10/03/2018,17111762063,31141708195,149939797150,67390487259,2228647774,9876881425,4179058787,759601743,163698500,5413765900,4063946338
11/03/2018,19482419344,32490185241,162009710243,70981343639,2225654634,10502793498,4431182115,819081433,179733400,5627534242,4465042435
12/03/2018,17886964137,31314533735,155710928717,68688764839,2222351094,9909960606,4225761206,796000280,178569300,5397195313,4103405763
13/03/2018,18105827088,30871158542,155555594312,67819092121,2216792722,9776393862,4258270138,1001546413,197344350,5368188441,3924754944
14/03/2018,16158029406,27438554006,139920843550,60318025226,2223237951,8962106001,3890529578,887087219,155263150,4600419158,3411189461
15/03/2018,16060495993,27257442083,140460819364,60037233577,2219978754,9152161117,3776093051,900936307,146907950,4451800974,3376311637
